,precision,recall,f1-score,support
original,0.7627118644067796,0.6040268456375839,0.6741573033707865,149.0
virtualized,0.7958477508650519,0.8914728682170543,0.8409506398537476,258.0
accuracy,0.7862407862407862,0.7862407862407862,0.7862407862407862,0.7862407862407862
macro avg,0.7792798076359158,0.7477498569273191,0.757553971612267,407.0
weighted avg,0.7837169226530554,0.7862407862407862,0.7798887058587569,407.0
