,precision,recall,f1-score,support
original,0.52083,0.20661,0.29586,121.00000
virtualized,0.54502,0.83333,0.65903,138.00000
accuracy,0.54054,0.54054,0.54054,0.54054
macro avg,0.53293,0.51997,0.47744,259.00000
weighted avg,0.53372,0.54054,0.48936,259.00000
