,precision,recall,f1-score,support
not_packed,0.90556,0.90556,0.90556,180.00000
packed,0.88591,0.88591,0.88591,149.00000
accuracy,0.89666,0.89666,0.89666,0.89666
macro avg,0.89573,0.89573,0.89573,329.00000
weighted avg,0.89666,0.89666,0.89666,329.00000
