,precision,recall,f1-score,support
not_packed,0.9269662921348315,0.9166666666666666,0.9217877094972067,180.0
packed,0.9006622516556292,0.912751677852349,0.9066666666666666,149.0
accuracy,0.9148936170212766,0.9148936170212766,0.9148936170212766,0.9148936170212766
macro avg,0.9138142718952303,0.9147091722595078,0.9142271880819366,329.0
weighted avg,0.9150535200029131,0.9148936170212766,0.9149395776377828,329.0
