,precision,recall,f1-score,support
original,0.51786,0.47934,0.49785,121.00000
virtualized,0.57143,0.60870,0.58947,138.00000
accuracy,0.54826,0.54826,0.54826,0.54826
macro avg,0.54464,0.54402,0.54366,259.00000
weighted avg,0.54640,0.54826,0.54667,259.00000
