,precision,recall,f1-score,support
not_packed,0.86813,0.87778,0.87293,180.00000
packed,0.85034,0.83893,0.84459,149.00000
accuracy,0.86018,0.86018,0.86018,0.86018
macro avg,0.85924,0.85835,0.85876,329.00000
weighted avg,0.86007,0.86018,0.86010,329.00000
