,precision,recall,f1-score,support
ddos,0.8119402985074626,0.8918032786885246,0.85,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.89198606271777,0.8152866242038217,0.8519134775374376,314.0
rootkits,0.9821428571428571,0.9565217391304348,0.9691629955947136,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.9280359820089955,0.9280359820089955,0.9280359820089955,0.9280359820089955
macro avg,0.9372138436736179,0.9327223284045563,0.9342152946264303,1334.0
weighted avg,0.930038863050663,0.9280359820089955,0.9281893376612799,1334.0
