,precision,recall,f1-score,support
ddos,0.670846394984326,0.7016393442622951,0.6858974358974359,305.0
goodware,0.9903536977491961,1.0,0.9951534733441034,308.0
ransomware,0.7185430463576159,0.6910828025477707,0.7045454545454546,314.0
rootkits,0.9380530973451328,0.9217391304347826,0.9298245614035088,115.0
spyware,1.0,0.9897260273972602,0.9948364888123924,292.0
accuracy,0.8500749625187406,0.8500749625187406,0.8500749625187406,0.8500749625187406
macro avg,0.8635592472872542,0.8608374609284217,0.862051482800579,1334.0
weighted avg,0.8509263209354974,0.8500749625187406,0.8503413341533709,1334.0
