,precision,recall,f1-score,support
ddos,0.53918,0.56393,0.55128,305.00000
goodware,0.98969,0.93506,0.96160,308.00000
ransomware,0.64401,0.63376,0.63884,314.00000
rootkits,0.67619,0.61739,0.64545,115.00000
spyware,0.93548,0.99315,0.96346,292.00000
accuracy,0.76462,0.76462,0.76462,0.76462
macro avg,0.75691,0.74866,0.75213,1334.00000
weighted avg,0.76643,0.76462,0.76497,1334.00000
