,precision,recall,f1-score,support
ddos,0.6186186186186187,0.6754098360655738,0.64576802507837,305.0
goodware,0.9903225806451613,0.9967532467532467,0.9935275080906149,308.0
ransomware,0.6794425087108014,0.6210191082802548,0.64891846921797,314.0
rootkits,0.9298245614035088,0.9217391304347826,0.925764192139738,115.0
spyware,0.996551724137931,0.9897260273972602,0.993127147766323,292.0
accuracy,0.8268365817091454,0.8268365817091454,0.8268365817091454,0.8268365817091454
macro avg,0.8429519987032043,0.8409294697862236,0.8414210684586031,1334.0
weighted avg,0.8283102768082903,0.8268365817091454,0.826973109984326,1334.0
