,precision,recall,f1-score,support
ddos,0.890625,0.9344262295081968,0.912,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.9395973154362416,0.89171974522293,0.9150326797385621,314.0
rootkits,0.9827586206896551,0.991304347826087,0.987012987012987,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.9587706146926537,0.9587706146926537,0.9587706146926537,0.9587706146926537
macro avg,0.9625961872251793,0.9634900645114428,0.9628091333503097,1334.0
weighted avg,0.9592889231081637,0.9587706146926537,0.9587606858653689,1334.0
