,precision,recall,f1-score,support
ddos,0.9112627986348123,0.8754098360655738,0.8929765886287625,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.8841463414634146,0.9235668789808917,0.9034267912772586,314.0
rootkits,1.0,0.9826086956521739,0.9912280701754386,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.952023988005997,0.952023988005997,0.952023988005997,0.952023988005997
macro avg,0.9590818280196455,0.9563170821397279,0.9575262900162919,1334.0
weighted avg,0.9524416077984482,0.952023988005997,0.9520428036454328,1334.0
