,precision,recall,f1-score,support
ddos,0.92810,0.93115,0.92962,305.00000
goodware,1.00000,1.00000,1.00000,308.00000
ransomware,0.94194,0.92994,0.93590,314.00000
rootkits,0.97458,1.00000,0.98712,115.00000
spyware,1.00000,1.00000,1.00000,292.00000
accuracy,0.96777,0.96777,0.96777,0.96777
macro avg,0.96892,0.97222,0.97053,1334.00000
weighted avg,0.96770,0.96777,0.96771,1334.00000
