,precision,recall,f1-score,support
ddos,0.6840490797546013,0.7263843648208469,0.7045813586097947,307.0
goodware,1.0,1.0,1.0,319.0
ransomware,0.7065217391304348,0.6655290102389079,0.6854130052724078,293.0
rootkits,0.9743589743589743,0.957983193277311,0.9661016949152542,119.0
spyware,1.0,1.0,1.0,296.0
accuracy,0.8598200899550225,0.8598200899550225,0.8598200899550225,0.8598200899550225
macro avg,0.8729859586488022,0.8699793136674131,0.8712192117594914,1334.0
weighted avg,0.860541720388754,0.8598200899550225,0.8598939950022021,1334.0
