,precision,recall,f1-score,support
ddos,0.9066666666666666,0.8918032786885246,0.8991735537190083,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.8975155279503105,0.9203821656050956,0.9088050314465409,314.0
rootkits,1.0,0.9739130434782609,0.986784140969163,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.954272863568216,0.954272863568216,0.954272863568216,0.954272863568216
macro avg,0.9608364389233955,0.9572196975543761,0.9589525452269424,1334.0
weighted avg,0.9545376380132915,0.954272863568216,0.9543424962293592,1334.0
