,precision,recall,f1-score,support
ddos,0.6604938271604939,0.6970684039087948,0.6782884310618067,307.0
goodware,1.0,1.0,1.0,319.0
ransomware,0.6714801444043321,0.6348122866894198,0.6526315789473685,293.0
rootkits,0.9830508474576272,0.9747899159663865,0.9789029535864979,119.0
spyware,1.0,1.0,1.0,296.0
accuracy,0.8478260869565217,0.8478260869565217,0.8478260869565217,0.8478260869565217
macro avg,0.8630049638044905,0.8613341213129203,0.8619645927191346,1334.0
weighted avg,0.8481996537452763,0.8478260869565217,0.8477848968848177,1334.0
