,precision,recall,f1-score,support
original,0.51754,0.48760,0.50213,121.00000
virtualized,0.57241,0.60145,0.58657,138.00000
accuracy,0.54826,0.54826,0.54826,0.54826
macro avg,0.54498,0.54453,0.54435,259.00000
weighted avg,0.54678,0.54826,0.54712,259.00000
