,precision,recall,f1-score,support
ddos,0.9324324324324325,0.9049180327868852,0.9184692179700499,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.9158878504672897,0.9363057324840764,0.925984251968504,314.0
rootkits,0.9829059829059829,1.0,0.9913793103448276,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.9632683658170914,0.9632683658170914,0.9632683658170914,0.9632683658170914
macro avg,0.9662452531611411,0.9682447530541923,0.9671665560566763,1334.0
weighted avg,0.9632795089751192,0.9632683658170914,0.9631939934697381,1334.0
