,precision,recall,f1-score,support
ddos,0.6574923547400612,0.7003257328990228,0.6782334384858044,307.0
goodware,0.9937304075235109,0.9937304075235109,0.9937304075235109,319.0
ransomware,0.6897810218978102,0.6450511945392492,0.6666666666666666,293.0
rootkits,0.9322033898305084,0.9243697478991597,0.9282700421940928,119.0
spyware,0.9966216216216216,0.9966216216216216,0.9966216216216216,296.0
accuracy,0.8440779610194903,0.8440779610194903,0.8440779610194903,0.8440779610194903
macro avg,0.8539657591227025,0.852019740896513,0.8527044352983394,1334.0
weighted avg,0.8447437748958678,0.8440779610194903,0.8440893058242671,1334.0
