,precision,recall,f1-score,support
ddos,0.58044,0.60328,0.59164,305.00000
goodware,1.00000,0.90260,0.94881,308.00000
ransomware,0.68013,0.64331,0.66121,314.00000
rootkits,0.65000,0.67826,0.66383,115.00000
spyware,0.90683,1.00000,0.95114,292.00000
accuracy,0.77511,0.77511,0.77511,0.77511
macro avg,0.76348,0.76549,0.76333,1334.00000
weighted avg,0.77822,0.77511,0.77539,1334.00000
