,precision,recall,f1-score,support
ddos,0.9613899613899614,0.8163934426229508,0.8829787234042553,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.8448753462603878,0.9713375796178344,0.9037037037037038,314.0
rootkits,1.0,0.991304347826087,0.9956331877729258,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.9505247376311844,0.9505247376311844,0.9505247376311844,0.9505247376311844
macro avg,0.9612530615300698,0.9558070740133744,0.9564631229761769,1334.0
weighted avg,0.9546587683281109,0.9505247376311844,0.9502018667130041,1334.0
