,precision,recall,f1-score,support
ddos,0.9178082191780822,0.8786885245901639,0.897822445561139,305.0
goodware,1.0,0.9967532467532467,0.9983739837398374,308.0
ransomware,0.8888888888888888,0.9426751592356688,0.9149922720247295,314.0
rootkits,1.0,0.9478260869565217,0.9732142857142857,115.0
spyware,0.9965870307167235,1.0,0.9982905982905983,292.0
accuracy,0.9535232383808095,0.9535232383808095,0.9535232383808095,0.9535232383808095
macro avg,0.9606568277567389,0.9531886035071203,0.9565387170661179,1334.0
weighted avg,0.9543073695125257,0.9535232383808095,0.9535705426250225,1334.0
