,precision,recall,f1-score,support
ddos,0.654434250764526,0.6970684039087948,0.6750788643533123,307.0
goodware,0.990625,0.9937304075235109,0.9921752738654148,319.0
ransomware,0.6875,0.6382252559726962,0.6619469026548672,293.0
rootkits,0.9243697478991597,0.9243697478991597,0.9243697478991597,119.0
spyware,0.9966216216216216,0.9966216216216216,0.9966216216216216,296.0
accuracy,0.8418290854572713,0.8418290854572713,0.8418290854572713,0.8418290854572713
macro avg,0.8507101240570615,0.8500030873851567,0.8500384820788753,1334.0
weighted avg,0.8420975936916862,0.8418290854572713,0.8416068712124515,1334.0
