,precision,recall,f1-score,support
ddos,0.739247311827957,0.9016393442622951,0.8124076809453472,305.0
goodware,1.0,1.0,1.0,308.0
ransomware,0.889795918367347,0.6942675159235668,0.7799642218246869,314.0
rootkits,0.9743589743589743,0.991304347826087,0.9827586206896551,115.0
spyware,1.0,1.0,1.0,292.0
accuracy,0.9047976011994003,0.9047976011994003,0.9047976011994003,0.9047976011994003
macro avg,0.9206804409108557,0.9174422416023897,0.9150261046919379,1334.0
weighted avg,0.9122321068411963,0.9047976011994003,0.9038308468670113,1334.0
