,precision,recall,f1-score,support
not_packed,0.56707,0.51667,0.54070,180.00000
packed,0.47273,0.52349,0.49682,149.00000
accuracy,0.51976,0.51976,0.51976,0.51976
macro avg,0.51990,0.52008,0.51876,329.00000
weighted avg,0.52435,0.51976,0.52082,329.00000
