,precision,recall,f1-score,support
not_packed,0.8964401294498382,0.9389830508474576,0.9172185430463576,295.0
packed,0.8676470588235294,0.7866666666666666,0.8251748251748252,150.0
accuracy,0.8876404494382022,0.8876404494382022,0.8876404494382022,0.8876404494382022
macro avg,0.8820435941366838,0.8628248587570622,0.8711966841105914,445.0
weighted avg,0.8867346000252397,0.8876404494382022,0.8861925707301107,445.0
