,precision,recall,f1-score,support
original,0.00000,0.00000,0.00000,121.00000
virtualized,0.53282,1.00000,0.69521,138.00000
accuracy,0.53282,0.53282,0.53282,0.53282
macro avg,0.26641,0.50000,0.34761,259.00000
weighted avg,0.28390,0.53282,0.37042,259.00000
