,precision,recall,f1-score,support
packed,0.80665,0.88704,0.84494,301.00000
not_packed,0.70175,0.55556,0.62016,144.00000
accuracy,0.77978,0.77978,0.77978,0.77978
macro avg,0.75420,0.72130,0.73255,445.00000
weighted avg,0.77270,0.77978,0.77220,445.00000
